,label,yes_vote,no_vote,columba-1.4-src,jfreechart-1.0.19,jEdit-4.2,apache-ant-1.7.0,sql12,jruby-1.4.0,apache-jmeter-2.10,hibernate-distribution-3.3.2.GA,emf-2.4.1,code_ensemble
0,no,0,9,no,no,no,no,no,no,no,no,no,no
1,no,0,9,no,no,no,no,no,no,no,no,no,no
2,yes,9,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
3,yes,8,1,yes,yes,no,yes,yes,yes,yes,yes,yes,yes
4,no,0,9,no,no,no,no,no,no,no,no,no,no
5,no,0,9,no,no,no,no,no,no,no,no,no,no
6,yes,9,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
7,no,0,9,no,no,no,no,no,no,no,no,no,no
8,no,0,9,no,no,no,no,no,no,no,no,no,no
9,no,0,9,no,no,no,no,no,no,no,no,no,no
10,no,1,8,no,no,no,no,no,yes,no,no,no,no
11,no,0,9,no,no,no,no,no,no,no,no,no,no
12,yes,8,1,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
13,no,1,8,no,no,no,no,no,yes,no,no,no,no
14,no,0,9,no,no,no,no,no,no,no,no,no,no
15,no,0,9,no,no,no,no,no,no,no,no,no,no
16,no,0,9,no,no,no,no,no,no,no,no,no,no
17,no,0,9,no,no,no,no,no,no,no,no,no,no
18,no,0,9,no,no,no,no,no,no,no,no,no,no
19,no,0,9,no,no,no,no,no,no,no,no,no,no
20,no,0,9,no,no,no,no,no,no,no,no,no,no
21,no,0,9,no,no,no,no,no,no,no,no,no,no
22,no,0,9,no,no,no,no,no,no,no,no,no,no
23,yes,8,1,yes,yes,no,yes,yes,yes,yes,yes,yes,yes
24,no,0,9,no,no,no,no,no,no,no,no,no,no
25,no,0,9,no,no,no,no,no,no,no,no,no,no
26,no,0,9,no,no,no,no,no,no,no,no,no,no
27,no,1,8,no,no,no,no,no,yes,no,no,no,no
28,no,0,9,no,no,no,no,no,no,no,no,no,no
29,no,1,8,no,no,no,no,no,no,no,no,yes,no
30,no,0,9,no,no,no,no,no,no,no,no,no,no
31,no,0,9,no,no,no,no,no,no,no,no,no,no
32,no,0,9,no,no,no,no,no,no,no,no,no,no
33,no,0,9,no,no,no,no,no,no,no,no,no,no
34,no,0,9,no,no,no,no,no,no,no,no,no,no
35,no,0,9,no,no,no,no,no,no,no,no,no,no
36,no,0,9,no,no,no,no,no,no,no,no,no,no
37,no,0,9,no,no,no,no,no,no,no,no,no,no
38,no,1,8,no,no,no,no,no,yes,no,no,no,no
39,no,0,9,no,no,no,no,no,no,no,no,no,no
40,no,0,9,no,no,no,no,no,no,no,no,no,no
41,no,0,9,no,no,no,no,no,no,no,no,no,no
42,no,0,9,no,no,no,no,no,no,no,no,no,no
43,no,0,9,no,no,no,no,no,no,no,no,no,no
44,yes,9,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
45,yes,8,1,yes,yes,no,yes,yes,yes,yes,yes,yes,yes
46,yes,9,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
47,no,0,9,no,no,no,no,no,no,no,no,no,no
48,no,0,9,no,no,no,no,no,no,no,no,no,no
49,no,3,6,yes,no,no,yes,yes,no,no,no,no,no
50,no,0,9,no,no,no,no,no,no,no,no,no,no
51,no,0,9,no,no,no,no,no,no,no,no,no,no
52,no,0,9,no,no,no,no,no,no,no,no,no,no
53,no,0,9,no,no,no,no,no,no,no,no,no,no
54,no,0,9,no,no,no,no,no,no,no,no,no,no
55,no,0,9,no,no,no,no,no,no,no,no,no,no
56,no,0,9,no,no,no,no,no,no,no,no,no,no
57,no,0,9,no,no,no,no,no,no,no,no,no,no
58,no,0,9,no,no,no,no,no,no,no,no,no,no
59,no,0,9,no,no,no,no,no,no,no,no,no,no
60,no,0,9,no,no,no,no,no,no,no,no,no,no
61,no,0,9,no,no,no,no,no,no,no,no,no,no
62,no,0,9,no,no,no,no,no,no,no,no,no,no
63,no,0,9,no,no,no,no,no,no,no,no,no,no
